ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
97-01-13,"Airworthiness Directives; Cessna 100, 200, 300, and 400 Series Airplanes",AD Final Rules,,,03/02/2011,02/03/1997,Part 39 (62 FR 3200  NO. 14  01/22/97),,
73-20-04,Airworthiness Directives; CESSNA Model R172E (T-41B) Airplanes,AD Final Rules,,,08/12/2011,10/03/1973,Part 39,,
2005-05-53 R1,"Airworthiness Directives; The Cessna Aircraft Company Models 172R, 172S, 182T, and T182T Airplanes",AD Final Rules,,,03/21/2005,03/21/2005,Part 39,,
82-07-02,"Airworthiness Directives; Cessna Models 170A, 170B, 172, 172A through 172P, 175, 175A, 175B, 175C, P172D, and R172E (USAF T-41B) Airplanes",AD Final Rules,,,03/03/2011,04/08/1982,Part 39,,
2008-05-09,"Airworthiness Directives; Cessna Aircraft Company 172, 182, and 206 Series Airplanes",AD Final Rules,,,03/04/2008,04/08/2008,Part 39,,
2008-10-02,"Airworthiness Directives; Cessna Aircraft Company 172, 175, 180, 182, 185, 206, 207, 208, 210, and 303 Series Airplanes",AD Final Rules,,,05/02/2008,05/12/2008,Part 39,,
80-06-03,"Airworthiness Directives; Cessna Models 150M, A150M, 152, A152, 172N and R172K Airplanes",AD Final Rules,,,08/09/2011,04/21/1980,Part 39,,
98-01-01,Airworthiness Directives; Cessna Aircraft Company Models 172R and 182S Airplanes,AD Final Rules,,,01/23/1998,02/02/1998,Part 39,,
93-24-15,"Airworthiness Directives; Cessna Models 150F, 150G, 150H, 150J, F150F, F150G, F150H, and F150J, 172E, 172F, 172G, 172H, 172I, 172K, F172E, F172F, F172G, F172H, FR172E, FR172F, FR172G, 180H, 180J, 185D, 185E, 185F, R172E, R172F, R172G, R172H Airplanes",AD Final Rules,,,11/17/2015,02/11/1994,Part 39,,
2007-08-03,"Airworthiness Directives; Cessna Aircraft Company Models 172R, 172S, 182T, T182T, 206H, and T206H Airplanes",AD Final Rules,,,04/12/2007,05/02/2007,Part 39,,
2005-13-10,"Airworthiness Directives; Cessna Aircraft Company Models 172R, 172S, 182T, T182T, 206H, and T206H Airplanes",AD Final Rules,,,06/22/2005,08/09/2005,Part 39,,
2006-17-04,"Airworthiness Directives; The Cessna Aircraft Company Models 172R, 172S, 182T, T182T, 206H, and T206H Airplanes",AD Final Rules,,,08/18/2006,09/01/2006,Part 39,,
2007-05-10,"Airworthiness Directives; Cessna Aircraft Company Models 172R, 172S, 182S, 182T, T182T, 206H, and T206H Airplanes",AD Final Rules,,,03/07/2007,04/11/2007,Part 39,,
83-22-06,"Airworthiness Directives; Cessna Model 152, A152, 172N, 172P, 172Q, 172RG, R172K 180K 182Q, 182R, T182, R182, TR182, A185F, F152, FA152, F172N, F172P, FR172K, F182Q, and FR182 Airplanes",AD Final Rules,,,08/09/2011,11/08/1983,Part 39,,
2004-15-18,"Airworthiness Directives; Cessna Aircraft Company Models 172R, 172S, 182S, 182T, T182T, 206H, and T206H Airplanes",AD Final Rules,,,07/30/2004,09/12/2004,Part 39,,
59-10-03,"Airworthiness Directives; CESSNA Models 172, 180, 180A, 182, and 182A Airplanes",AD Final Rules,,,03/03/2011,,Part 39,,
