ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
2011-05-06,Airworthiness Directives; Thielert Aircraft Engines GmbH Models TAE 125-02-99 and TAE 125-02-114 Reciprocating Engines,AD Final Rules,,,02/23/2011,03/30/2011,Part 39,,
98-20-28,Airworthiness Directives; Pilatus Aircraft Ltd. Models PC-12 and PC-12/45 Airplanes,AD Final Rules,,,09/24/1998,11/04/1998,Part 39 [63 FR 50986 No. 185  09/24/98],,
98-04-34,Airworthiness Directives; Mitsubishi Model YS-11 and YS-11A Series Airplanes,AD Final Rules,,,12/13/2011,03/25/1998,Part 39 [63 FR 8074  NO. 32  02/18/98],,
2006-10-21,Airworthiness Directives; Engine Components Incorporated (ECi) Reciprocating Engine Connecting Rods,AD Final Rules,,,06/16/2006,06/22/2006,Part 39,,
98-04-31,Airworthiness Directives; Fairchild Model F27 and FH227 Series Airplanes,AD Final Rules,,,11/29/2010,03/25/1998,Part 39 [63 FR 8062  NO. 32  02/18/98],,
98-04-26,Airworthiness Directives; The New Piper Aircraft Corporation Models PA-46-310P and PA-46-350P Airplanes,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,02/17/1998,03/13/1998,Part 39 [63 FR 7652 No. 31 02/17/98],,
2003-06-02,"Airworthiness Directives; Hartzell Propeller Inc. Model HC- C2Y(K,R)-1BF/F8477-4 Propellers",AD Final Rules,,,03/25/2003,04/29/2003,Part 39,,
93-10-02,"TELEDYNE CONTINENTAL MOTORS Models (TCM) O-200, O-300, IO/TSIO/LTSIO-360, O/IO/TSIO-470, IO/TSIO/LTSIO/GTSIO-520, and IO/TSIO/TSIOL-550 Series Engines",AD Final Rules,,,04/21/2011,08/12/1993,Part 39,,
92-12-05,"TEXTRON LYCOMING Models O-320, IO-320, LIO-320, AIO-320, AEIO-320, O-340, O-360, LO-360, HO-360, VO-360, IVO-360, IO-360, AIO-360, HIO-360, LHIO-360, LIO-360, AEIO-360, TO-360, LTO-360, TIO-360, O-480, GSO-480, IGSO-480, IGO-480, GO-480, O-540 (excluding models O-540-J and O-540-L), VO-540, IO-540 (excluding model IO-540-W), HIO-540, AEIO-540, IGSO-540, IGO-540, TVO-540, TIVO-540, IVO-540, TIO-540, LTIO-540, TIO-541, TIGO-541, and IO-720 Series Engines",AD Final Rules,,,05/20/2014,07/10/1992,Part 39,,
2005-18-12,Airworthiness Directives; Hartzell Propeller Inc. Propellers,AD Final Rules,,,09/09/2005,10/14/2005,Part 39,,
98-20-34,"Airworthiness Directives; Twin Commander Aircraft Corporation Models 500, 500-A, 500-B, 500-S, 500-U, 520, 560, 560-A, 560-E, 560-F, 680, 680-E, 680FL(P), 680T, 680V, 680W, 681, 685, 690, 690A, 690B, 690C, 690D, 695, 695A, 695B, and 720 Airplanes.",AD Final Rules,,,09/28/1998,11/03/1998,Part 39 [63 FR 51520 No 187  09/28/98],,
98-05-15,"Airworthiness Directives; SIAI Marchetti, S.r.1 Models SF600 and SF600A Airplanes.",AD Final Rules,,,03/04/1998,04/30/1998,Part 39 [63 FR 10523 No. 42 03/04/98],,
95-07-01,"Airworthiness Directives; Textron Lycoming O-360, LO-360, HO-360, HIO-360, TIO-360, LIO-360, AEIO-360, O-540, IO-540, TIO-540, LTIO-540, IVO-540, AEIO-540, TIO-541, and IO-720 Series Reciprocating Engines",AD Final Rules,,,03/28/1995,04/12/1995,Part 39 [60 FR 15864  NO. 59  3/28/95],,
2000-05-24,Airworthiness Directives; Honeywell International Inc. KAP 140 and KFC 225 Autopilot Systems,AD Final Rules,,,03/20/2000,04/12/2000,Part 39 [65 FR 14831  3/20/2000],,
95-11-08,Hartzell Propeller Inc. Models HC-92WK-( ) and HC-92ZK-( ) Propellers,AD Final Rules,,,05/26/1995,06/12/1995,Part 39 [60 FR 27871  NO. 102  5/26/95],,
2001-23-17,Airworthiness Directives; GARMIN International GNS 430 Units,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,12/03/2001,12/28/2001,Part 39,,
2003-01-03,Airworthiness Directives; Hartzell Propeller Inc. Model ( )HC-( )2Y( )-( ) propellers,AD Final Rules,,,01/08/2003,01/23/2003,Part 39,,
2005-11-05,"Airworthiness Directives; Precise Flight, Inc. Models SVS I and SVS IA Standby Vacuum Systems",AD Final Rules,,,06/07/2005,07/18/2005,Part 39,,
2015-23-09,Airworthiness Directives; Zodiac Aerotechnics (Formerly Intertechnique Aircraft Systems),AD Final Rules,,,11/20/2015,12/28/2015,Part 39,,
2019-01-02,"Airworthiness Directives; Aspen Avionics, Inc., Evolution Flight Display Units",AD Final Rules,,,01/23/2019,02/07/2019,Part 39,,
99-19-09,Airworthiness Directives; Fairchild Model F-27 and FH-227 Series Airplanes,AD Final Rules,,,11/22/1999,12/27/1999,Part 39 [64 FR 63591  11/22/99],,
2020-16-08,"Airworthiness Directives; Aspen Avionics, Inc.",AD Final Rules,,,08/17/2020,08/17/2020,Part 39,,
94-05-05 R1,"TELEDYNE CONTINENTAL ENGINES AND ROLLS-ROYCE, PLC Model C75, C85, C90, C125, C145, O-200, O-300, and GO-300 Series and Rolls-Royce, plc (R-R) C90, O-200 and O-300 Series Engines",AD Final Rules,,,12/14/2011,02/13/1996,Part 39,,
97-18-02R1,"Airworthiness Directives; Hartzell Propeller Inc. ( )HC-( )(2,3)(X,V)( )-( ) Series and HA-A2V20-1B Series Propellers with Aluminum Blades",AD Final Rules,,,06/26/2003,07/31/2003,Part 39,,
2022-03-15,Airworthiness Directives; Various Airplanes,AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-760: Central Certification Branch,02/14/2022,03/21/2022,Part 39,,
99-24-10,"Airworthiness Directives; Precise Flight, Inc. Model SVS III Standby Vacuum Systems",AD Final Rules,,,11/30/1999,01/14/2000,Part 39 (64 FR 66747  11/30/99),,
96-18-14,"Hartzell Propeller Inc. Models HC-A3V, HC-B3M, HC-B3T, HC-B4M, HC-B4T, and HC-B5M Series Propellers",AD Final Rules,,,09/11/1996,10/16/1996,Part 39 [61 FR 47809  NO. 177  09/11/96],,
2013-10-04,"Airworthiness Directives; Piper Aircraft, Inc. Airplanes",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-720: Operational Safety Branch,09/05/2013,07/17/2013,Part 39,,
98-04-35,Airworthiness Directives; McDonnell Douglas Model DC-3 and DC-4 Series Airplanes,AD Final Rules,,,02/18/1998,03/25/1998,Part 39 (63 FR 8078  NO. 32  02/18/98),,
2016-16-12,"Airworthiness Directives; Continental Motors, Inc. Reciprocating Engines",AD Final Rules,,,08/11/2016,09/15/2016,Part 39,,
96-09-25,Airworthiness Directives; de Havilland Model DHC-7 and DHC-8 Series Airplanes,AD Final Rules,,,03/16/2011,06/11/1996,Part 39,,
